MYC	SRM	GBE1	FUK	UGP2	PRDX6	ATP6V1A	BCAT1	GLUD1	ATP6V1B2	GGPS1	POLD1	CAD	ALOX5	ASNS	PYCRL	PLCG2	GANAB	SEPHS1	GLUD2
VAL	0.0811880587364436	-0.0215825152519858	-0.0426553397421562	-0.612272574045037	0.453571487518963	1.06197714882965	0.666969038510813	0.758015213042108	-0.12772478986365	0.81836084924556	0.0190137467000229	0.0334670748203013	-0.330218334766901	0.965566371949135	-0.0426483253122729	-0.0810989227233821	0.190470317918927	0.315090618973858	-0.181039793115899	0.439522641095833
WSUDLCL2	1.48836546967757	1.81983079655644	-0.86471205401472	-1.57805842227963	1.16954830268775	2.22478710796859	-0.574551600149299	1.14404088796044	0.022204964399407	1.97659495006137	-0.52973878081474	0.62946365581699	0.0894003375594001	1.10525957366374	1.05996451630577	-0.0284792405618159	2.12162776536663	1.15454816054925	-0.195888864603217	0.495177794711805
LY3	-0.482599552385045	-1.21762549175022	-0.630691420586314	1.27122574741669	-1.14868077565707	-0.958779801495049	-0.192555166883472	0.0129008768008606	-1.01960747771544	0.11899220838534	-0.342619389853044	-0.745213975447081	-0.25787617583267	-1.49725602609439	-0.580794367306246	-0.165805895933389	-0.863118369393474	-1.51779414674209	-0.275775572342847	-0.871118790358289
LY10	-0.425597920252583	-0.802965619272173	-0.612869253921468	1.37456871163676	-0.814313722979323	-1.25659711310131	-0.61444012409545	-0.155561112640861	0.270743434592433	-0.860969784812865	-0.735280280286137	0.20282444250632	0.860996909845801	-1.26903752672563	-1.64156628041576	-0.292340255458946	-0.696886976367959	-1.1771646180909	1.04721833838091	-0.168690853801567
HBL1	-0.372157331912038	-0.588270489085318	-0.16401782743549	0.556932561269687	-0.919056874955139	-0.882061457057926	0.591987895889346	-0.140346868901238	0.765919595780965	-0.0206941736940958	-0.486958992195765	-0.0335811433456924	0.59209581175856	-0.381456572443134	-0.807050776537721	0.0770690266835645	-0.357489094511177	-1.05620831955934	0.403974717620252	-0.470301854451344
HLY1	-0.221342764318533	-0.88498883709805	-0.381064463939197	1.76969446362327	-0.80670106626731	-0.566233455863294	0.600019747996151	-0.544740167137701	0.784834666819718	-0.0161524502369305	-0.672172647794388	-1.9683151719781	-1.30705945867945	-1.49776565303489	0.613090239455818	0.502322165238598	-0.646561008324971	-0.381718936328571	-0.897218940553125	-0.35424962830145
MD901	-0.548701168069781	-1.11856992117935	0.765464885487611	0.403405064065049	-0.399792583831388	-0.962680734263038	-1.05545713351689	-0.0508754124478404	1.14672448184057	-1.29555594812036	-0.190378926317584	-0.949247601643416	-0.912029151938981	-0.603400956880116	-0.416187525730782	-0.819116270053824	-1.662689012658	-1.30412743115019	0.347561214589832	-0.781396692937027
TMD8	-0.61789012977248	-1.00798812281187	-0.512870041558095	1.47359022996093	-0.7676885046911	-1.24435943512702	-0.176439893795983	-0.65686394204787	0.448999434945388	-1.15322022735757	-1.09306224329299	-0.479634934319714	-0.701411587092223	-1.39601756009327	-1.0164142512385	-0.80795715198764	-0.758049806998289	-1.26883354683252	1.05587489315626	-0.352409015037246
U266	-2.38214840215865	-1.02550711420672	-0.119086035451184	2.21697185837491	-1.12633126896623	-1.27708853771235	0.210648965765489	-1.91097925495583	-0.841861442513041	-0.690428068996314	0.857477752221891	-1.27217617023516	-0.136824009332808	-0.343395370396063	-0.781149789611208	-1.37832709148467	-1.74061889513355	-1.19001263347084	0.56857894456591	-1.15947113613879
U2932	-1.83619509670217	-1.31284809947221	-0.165687661611405	0.878702156399745	-0.580708384384425	-0.971663023899023	0.416769754663701	0.084771923936669	-1.05785486400704	-0.590888629893444	1.27451617417429	-1.39105391637045	-0.673783826315924	-0.101036040868036	-0.470099698255877	-0.775001071470379	-0.891355002763582	-1.36139133198409	-0.112014305787299	-1.2263883471849
